Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
544,Karl-Anthony Towns,C,26,MIN,73,73,2443,9.4,17.6,0.531,2.2,5.3,0.407,7.2,12.3,0.584,5.6,6.8,0.825,2.8,7.7,10.5,3.9,1.1,1.2,3.3,3.9,26.5
545,Gary Trent Jr.,SG,23,TOR,67,66,2337,6.5,15.8,0.41,3.1,8.1,0.377,3.4,7.7,0.444,2.6,3.1,0.85,0.4,2.4,2.8,2.1,1.8,0.3,1.1,2.1,18.6
546,P.J. Tucker,PF,36,MIA,71,70,1981,3.8,7.8,0.484,1.5,3.5,0.415,2.3,4.3,0.54,0.8,1.1,0.738,1.8,5.2,7,2.7,1.1,0.3,1.2,2.9,9.8
547,Rayjon Tucker,SG,24,DEN,3,0,29,1.2,2.5,0.5,1.2,2.5,0.5,0,0,,3.7,5,0.75,1.2,3.7,5,5,1.2,0,0,3.7,7.4
548,Myles Turner,C,25,IND,42,42,1235,5.8,11.5,0.509,1.8,5.3,0.333,4.1,6.1,0.662,2.3,3.1,0.752,1.9,6.8,8.7,1.3,0.8,3.4,1.6,3.5,15.7
549,Jonas Valančiūnas,C,29,NOP,72,72,2213,8.2,15,0.543,0.9,2.6,0.361,7.2,12.5,0.581,3.8,4.6,0.816,3.6,9.9,13.6,3.1,0.7,1,2.8,3.9,21
550,Denzel Valentine,SG,28,TOT,24,0,222,4.1,10.7,0.379,3.1,7.6,0.404,1,3.1,0.316,0,0,,1.5,5.4,6.8,1.8,1.3,0,1.9,3.2,11.2
551,Jarred Vanderbilt,PF,22,MIN,72,65,1834,4.1,7,0.59,0,0.3,0.154,4.1,6.7,0.606,1.6,2.5,0.651,4.1,7.9,12,1.8,1.9,0.9,1.4,3.5,9.9
552,Fred VanVleet,PG,27,TOR,65,65,2462,6.5,16,0.403,3.5,9.4,0.377,2.9,6.7,0.44,2.8,3.2,0.874,0.6,3.6,4.2,6.3,1.6,0.5,2.5,2.4,19.3
553,Devin Vassell,SF,21,SAS,69,30,1876,6.1,14.2,0.428,2.5,7,0.357,3.6,7.2,0.496,1.5,1.8,0.828,0.8,4.9,5.8,2.6,1.4,0.8,1.1,2.7,16.1
554,Gabe Vincent,PG,25,MIA,66,27,1560,4.8,11.6,0.414,2.6,7.2,0.363,2.2,4.3,0.5,1,1.2,0.815,0.5,2.3,2.8,4.8,1.4,0.3,2.2,3.6,13.2
555,Nikola Vučević,C,31,CHI,72,72,2396,8.2,17.2,0.474,1.6,5,0.315,6.6,12.3,0.538,1.4,1.8,0.756,2.1,9.9,12,3.5,1.1,1.1,2,2.7,19.3
556,Dean Wade,PF,25,CLE,51,28,980,3.6,8,0.456,1.9,5.2,0.359,1.8,2.8,0.64,0.7,1.1,0.667,1.1,4.4,5.5,1.9,1.1,0.3,0.6,3.2,9.9
557,Franz Wagner,SF,20,ORL,79,79,2429,6.8,14.5,0.468,1.4,4,0.356,5.3,10.4,0.511,2.8,3.2,0.863,1.2,4,5.3,3.4,1,0.5,1.8,2.4,17.7
558,Moritz Wagner,C,24,ORL,61,1,902,7.4,15,0.496,2.5,7.5,0.328,4.9,7.4,0.667,4,4.9,0.805,1.6,7,8.6,3.2,0.7,0.5,2.1,4.6,21.3
559,Ish Wainright,PF,27,PHO,44,0,327,3.9,9.9,0.389,1.8,5.6,0.314,2.1,4.3,0.487,0.8,1.3,0.583,2.8,2.9,5.6,1.7,1.8,0.7,1.4,4.7,10.2
560,Kemba Walker,PG,31,NYK,37,37,948,5.7,14.1,0.403,2.8,7.6,0.367,2.9,6.5,0.444,2.3,2.7,0.845,0.5,3.7,4.2,5,1,0.3,1.8,1.4,16.4
561,Lonnie Walker IV,SG,23,SAS,69,6,1585,6.9,17,0.405,2.5,7.9,0.315,4.4,9.2,0.481,2.5,3.2,0.775,0.4,3.6,4,3.4,1,0.4,1.6,2.2,18.7
562,M.J. Walker,SG,23,PHO,2,0,8,0,18,0,0,9,0,0,9,0,0,0,,0,4.5,4.5,4.5,9,0,0,4.5,0
563,Tyrone Wallace,SG,27,NOP,6,0,75,3.4,9.6,0.35,1,3.8,0.25,2.4,5.8,0.417,0.5,2.4,0.2,0,3.8,3.8,0.5,1.4,0.5,1,3.4,8.2
564,Derrick Walton,PG,26,DET,3,3,108,2,8.7,0.231,1,4.3,0.231,1,4.3,0.231,1.3,1.3,1,0.7,2.7,3.3,7,2.3,1.3,3.7,2.7,6.3
565,Brad Wanamaker,PG,32,TOT,23,2,320,3.2,8.7,0.364,0.5,1.9,0.235,2.7,6.8,0.4,2.6,2.8,0.92,0.7,3.7,4.4,6.2,0.8,0.7,2.6,5.1,9.3
